method,param_name,param_value,auroc,auprc,time_sec
t-SNE,perplexity_ee,50_24,0.8642857142857143,0.6462017899356345,1.2541701793670654
t-SNE,perplexity_ee,50_36,0.8271929824561404,0.5104567058471529,1.259695291519165
t-SNE,perplexity_ee,50_48,0.8530075187969925,0.517639442055174,1.2799029350280762
t-SNE,perplexity_ee,50_60,0.8337092731829574,0.5771863018772385,1.2803809642791748
t-SNE,perplexity_ee,80_4,0.8924812030075188,0.7416348263372733,1.271237850189209
t-SNE,perplexity_ee,80_12,0.8518170426065163,0.5963634937702929,1.4447269439697266
t-SNE,perplexity_ee,80_24,0.8560150375939849,0.5824288646327505,1.474174976348877
t-SNE,perplexity_ee,80_36,0.8544486215538847,0.5514458558991661,1.4078757762908936
t-SNE,perplexity_ee,80_48,0.9142857142857143,0.7318808776666573,1.452488899230957
t-SNE,perplexity_ee,80_60,0.899874686716792,0.7316909279236308,1.4062762260437012
t-SNE,perplexity_ee,100_4,0.8805137844611529,0.6902794342616835,0.8535881042480469
t-SNE,perplexity_ee,100_12,0.9179197994987469,0.7652088641433049,1.4595589637756348
t-SNE,perplexity_ee,100_24,0.8729323308270678,0.6488360876685544,1.4714951515197754
t-SNE,perplexity_ee,100_36,0.8696741854636593,0.575554470509698,1.489640235900879
t-SNE,perplexity_ee,100_48,0.9138471177944862,0.7777451627087475,1.4748189449310303
t-SNE,perplexity_ee,100_60,0.894736842105263,0.6425071876654382,1.4994480609893799
t-SNE,perplexity_ee,120_4,0.8965538847117794,0.7268983374582342,1.0122320652008057
t-SNE,perplexity_ee,120_12,0.9356516290726817,0.829603145948633,1.4001941680908203
t-SNE,perplexity_ee,120_24,0.9156015037593984,0.8383773005636038,1.5022461414337158
t-SNE,perplexity_ee,120_36,0.8872180451127819,0.6099854413407038,1.5241410732269287
t-SNE,perplexity_ee,120_48,0.9164786967418546,0.8164101180879613,1.4568071365356445
t-SNE,perplexity_ee,120_60,0.8695488721804511,0.6082683379260092,1.4485607147216797
UMAP,n_neighbors_min_dist,5_0.0,0.449812030075188,0.16032688341130763,0.3078951835632324
UMAP,n_neighbors_min_dist,5_0.1,0.4947368421052632,0.16946867945753213,0.30246996879577637
UMAP,n_neighbors_min_dist,5_0.3,0.4149749373433584,0.14866585334882604,0.3026292324066162
UMAP,n_neighbors_min_dist,5_0.5,0.49711779448621557,0.16768553490729138,0.3021128177642822
UMAP,n_neighbors_min_dist,5_0.7,0.5295739348370927,0.17659993642805483,0.30191588401794434
UMAP,n_neighbors_min_dist,5_1.0,0.42355889724310775,0.1492817406454556,0.3027191162109375
UMAP,n_neighbors_min_dist,10_0.0,0.593421052631579,0.2547247297984461,0.6080379486083984
UMAP,n_neighbors_min_dist,10_0.1,0.612844611528822,0.2741915774323124,0.6089239120483398
UMAP,n_neighbors_min_dist,10_0.3,0.6072055137844612,0.24005453047187542,0.6075468063354492
UMAP,n_neighbors_min_dist,10_0.5,0.5662907268170426,0.21786177026056422,0.6073191165924072
UMAP,n_neighbors_min_dist,10_0.7,0.5652255639097745,0.21581804231787655,0.6107456684112549
UMAP,n_neighbors_min_dist,10_1.0,0.5336466165413534,0.20251226021346969,0.6064419746398926
UMAP,n_neighbors_min_dist,30_0.0,0.6328947368421052,0.31772537326199657,1.8673489093780518
UMAP,n_neighbors_min_dist,30_0.1,0.6494360902255639,0.3552079453796507,1.8709502220153809
UMAP,n_neighbors_min_dist,30_0.3,0.7221804511278195,0.43785994548944673,1.882458209991455
UMAP,n_neighbors_min_dist,30_0.5,0.6552631578947369,0.33795575292651286,1.8722341060638428
UMAP,n_neighbors_min_dist,30_0.7,0.7386591478696741,0.4134716059240107,1.8701369762420654
UMAP,n_neighbors_min_dist,30_1.0,0.6998746867167921,0.3794092619455281,1.8662500381469727
UMAP,n_neighbors_min_dist,50_0.0,0.8092105263157895,0.5812325382395198,3.3072829246520996
UMAP,n_neighbors_min_dist,50_0.1,0.8548872180451128,0.6626606167182904,3.3280060291290283
UMAP,n_neighbors_min_dist,50_0.3,0.8232456140350877,0.6078944645659886,3.330826997756958
UMAP,n_neighbors_min_dist,50_0.5,0.8317042606516291,0.6433795336749002,3.3097689151763916
UMAP,n_neighbors_min_dist,50_0.7,0.7989348370927318,0.6033382620328474,3.2686986923217773
UMAP,n_neighbors_min_dist,50_1.0,0.7548245614035087,0.5250573134859351,3.1932191848754883
UMAP,n_neighbors_min_dist,75_0.0,0.8984335839598997,0.727229041605151,4.8706769943237305
UMAP,n_neighbors_min_dist,75_0.1,0.886904761904762,0.7247631066162034,4.878393173217773
UMAP,n_neighbors_min_dist,75_0.3,0.8932957393483709,0.7183744479797733,4.878485918045044
UMAP,n_neighbors_min_dist,75_0.5,0.8716165413533835,0.6880639494220749,4.874730825424194
UMAP,n_neighbors_min_dist,75_0.7,0.8368421052631579,0.6504441679260192,4.8958210945129395
UMAP,n_neighbors_min_dist,75_1.0,0.8411027568922306,0.6407666589892292,4.876183986663818
UMAP,n_neighbors_min_dist,100_0.0,0.9221804511278195,0.7723216477184154,6.413038969039917
UMAP,n_neighbors_min_dist,100_0.1,0.8911027568922306,0.7163003994750965,6.5186848640441895
UMAP,n_neighbors_min_dist,100_0.3,0.9002506265664161,0.6957116106641105,6.447298049926758
