method,param_name,param_value,auroc,auprc,time_sec
t-SNE,perplexity_ee,120_24,0.5935672809794548,0.11937161591490522,25.861758947372437
t-SNE,perplexity_ee,120_36,0.6013717050006461,0.12519433288504575,26.91236925125122
t-SNE,perplexity_ee,120_48,0.5898361787698669,0.1047256424505278,26.25652575492859
t-SNE,perplexity_ee,120_60,0.5949563493345393,0.1223105446384861,24.1308650970459
UMAP,n_neighbors_min_dist,5_0.0,0.5259834523194211,0.10891499588843205,11.961225032806396
UMAP,n_neighbors_min_dist,5_0.1,0.575044014084507,0.11032249587986656,8.366214036941528
UMAP,n_neighbors_min_dist,5_0.3,0.5447166946633932,0.11069616652900326,8.456923961639404
UMAP,n_neighbors_min_dist,5_0.5,0.5308896094456648,0.10389599190929144,8.264890909194946
UMAP,n_neighbors_min_dist,5_0.7,0.5754558890037473,0.11097482893518146,8.250532865524292
UMAP,n_neighbors_min_dist,5_1.0,0.5411269220829564,0.08920598519620301,8.241175174713135
UMAP,n_neighbors_min_dist,10_0.0,0.5572879651763794,0.09604954886984753,9.425275802612305
UMAP,n_neighbors_min_dist,10_0.1,0.5495653104406254,0.09703107059470405,9.584794044494629
UMAP,n_neighbors_min_dist,10_0.3,0.6202069065770771,0.1417539025311515,9.483776092529297
UMAP,n_neighbors_min_dist,10_0.5,0.5296459087091356,0.1027346892186448,9.472851037979126
UMAP,n_neighbors_min_dist,10_0.7,0.5945767783305336,0.11191120097510325,9.546510219573975
UMAP,n_neighbors_min_dist,10_1.0,0.5290492957746479,0.10694731281586528,9.43637990951538
UMAP,n_neighbors_min_dist,30_0.0,0.4752824573588319,0.07166280213097485,11.826397895812988
UMAP,n_neighbors_min_dist,30_0.1,0.4820299376534436,0.07658341763092189,11.828440189361572
UMAP,n_neighbors_min_dist,30_0.3,0.4908680869621398,0.07411061252581093,11.808254957199097
UMAP,n_neighbors_min_dist,30_0.5,0.5238453369298359,0.08983021638047031,11.735382080078125
UMAP,n_neighbors_min_dist,30_0.7,0.5510401860705518,0.1145157157952743,11.81086802482605
UMAP,n_neighbors_min_dist,30_1.0,0.5584912860188653,0.11160010765675238,11.771744966506958
UMAP,n_neighbors_min_dist,50_0.0,0.44163692014472156,0.06851296325108408,13.520627975463867
UMAP,n_neighbors_min_dist,50_0.1,0.4363814769350045,0.06583892528725108,13.504921197891235
UMAP,n_neighbors_min_dist,50_0.3,0.443432815932291,0.06655551303985405,13.540175914764404
UMAP,n_neighbors_min_dist,50_0.5,0.44244653702028686,0.07594847097119856,13.444367170333862
UMAP,n_neighbors_min_dist,50_0.7,0.49227027878278845,0.10038112400719575,13.340536832809448
UMAP,n_neighbors_min_dist,50_1.0,0.5159147257397596,0.10162386455856315,13.50691294670105
UMAP,n_neighbors_min_dist,75_0.0,0.3651008689753198,0.0567702338600504,15.671689987182617
UMAP,n_neighbors_min_dist,75_0.1,0.36393288054012146,0.059113815171549663,15.618149995803833
UMAP,n_neighbors_min_dist,75_0.3,0.4108866213335056,0.06803128277766826,15.516525030136108
UMAP,n_neighbors_min_dist,75_0.5,0.4516147919627859,0.11445392820350349,15.646237134933472
UMAP,n_neighbors_min_dist,75_0.7,0.46883479777749065,0.08600485642594369,15.633933782577515
UMAP,n_neighbors_min_dist,75_1.0,0.551746834216307,0.11599076026169798,16.00273895263672
UMAP,n_neighbors_min_dist,100_0.0,0.3916011839384933,0.0684131185865538,18.21168613433838
UMAP,n_neighbors_min_dist,100_0.1,0.39314571488564415,0.0781196672811599,18.003293991088867
UMAP,n_neighbors_min_dist,100_0.3,0.42409286568032045,0.08829905561573528,17.915688037872314
UMAP,n_neighbors_min_dist,100_0.5,0.4767896369039928,0.11046960641471196,17.970195055007935
UMAP,n_neighbors_min_dist,100_0.7,0.4979820147951932,0.10562051266681208,17.8855197429657
UMAP,n_neighbors_min_dist,100_1.0,0.5472676944695697,0.09992936852266583,17.866174936294556
UMAP,n_neighbors_min_dist,120_0.0,0.364897960007753,0.0615710231688011,19.391407012939453
UMAP,n_neighbors_min_dist,120_0.1,0.3609154929577465,0.07162839093516972,19.434529066085815
UMAP,n_neighbors_min_dist,120_0.3,0.41152866164879187,0.07553192690969623,19.487581968307495
UMAP,n_neighbors_min_dist,120_0.5,0.44375989307404057,0.08017348701665025,19.618035793304443
UMAP,n_neighbors_min_dist,120_0.7,0.4570751631347719,0.07999069638480583,20.141363859176636
UMAP,n_neighbors_min_dist,120_1.0,0.5181336009174312,0.09003879181805033,20.122556924819946
PaCMAP,n_neighbors_MN,5_0.3,0.6035986561571263,0.13238873133633455,0.5015642642974854
PaCMAP,n_neighbors_MN,5_0.5,0.6035986561571263,0.13238873133633455,0.4760289192199707
PaCMAP,n_neighbors_MN,5_0.8,0.6072247706422018,0.13182042058551238,0.5042219161987305
PaCMAP,n_neighbors_MN,5_1.5,0.6145769398501097,0.1123798432615491,0.5795919895172119
PaCMAP,n_neighbors_MN,5_3.0,0.553306507623724,0.09792244546056934,0.6956992149353027
PaCMAP,n_neighbors_MN,5_7.0,0.5620386597105569,0.12726357442795674,1.045903205871582
PaCMAP,n_neighbors_MN,10_0.3,0.5474968503682647,0.08581028686589216,0.6608259677886963
PaCMAP,n_neighbors_MN,10_0.5,0.5515913716242409,0.08689752790489247,0.6884469985961914
PaCMAP,n_neighbors_MN,10_0.8,0.5560472929319034,0.09014501787048543,0.739048957824707
PaCMAP,n_neighbors_MN,10_1.5,0.553523549554206,0.08836815412311329,0.8861749172210693
PaCMAP,n_neighbors_MN,10_3.0,0.516238774389456,0.07718622673807735,1.166294813156128
PaCMAP,n_neighbors_MN,10_7.0,0.5851541300555628,0.09938607522170939,1.8628480434417725
PaCMAP,n_neighbors_MN,15_0.3,0.4458778185166042,0.06979520166183717,0.8383369445800781
PaCMAP,n_neighbors_MN,15_0.5,0.45157845005814706,0.06703174664429665,0.9077489376068115
PaCMAP,n_neighbors_MN,15_0.8,0.4499884917301977,0.0663353914026396,0.9813539981842041
PaCMAP,n_neighbors_MN,15_1.5,0.452856473704613,0.06644293263677867,1.1585090160369873
PaCMAP,n_neighbors_MN,15_3.0,0.4473385611836154,0.06515155548598066,1.5632908344268799
PaCMAP,n_neighbors_MN,15_7.0,0.5252808421630701,0.0802580156362036,2.6883108615875244
PaCMAP,n_neighbors_MN,30_0.3,0.49299913587026745,0.09876625503506255,1.4921801090240479
PaCMAP,n_neighbors_MN,30_0.5,0.41991960363096004,0.06479896002041241,1.549854040145874
PaCMAP,n_neighbors_MN,30_0.8,0.425135676443985,0.06502376786989758,1.6961069107055664
PaCMAP,n_neighbors_MN,30_1.5,0.49009985947796875,0.09713180793484574,2.0796849727630615
PaCMAP,n_neighbors_MN,30_3.0,0.489937330404445,0.09959780575580351,2.8802332878112793
PaCMAP,n_neighbors_MN,30_7.0,0.44399813444889524,0.06718910202114321,5.228886127471924
PaCMAP,n_neighbors_MN,50_0.3,0.4772701576431064,0.09762533435640533,2.2416508197784424
PaCMAP,n_neighbors_MN,50_0.5,0.4764181418787957,0.09877885526283486,2.3991971015930176
PaCMAP,n_neighbors_MN,50_0.8,0.47599112449928926,0.0995091631217924,2.6565518379211426
PaCMAP,n_neighbors_MN,50_1.5,0.4756579903734333,0.09889211564237589,3.3713159561157227
PaCMAP,n_neighbors_MN,50_3.0,0.47548031883964337,0.09761545984094161,4.75647497177124
PaCMAP,n_neighbors_MN,50_7.0,0.4769511564801654,0.09027305059623122,8.774062871932983
PaCMAP,n_neighbors_MN,80_0.3,0.4925933179351337,0.09344563809617407,3.480393886566162
PaCMAP,n_neighbors_MN,80_0.5,0.49407727904121973,0.09393894954665433,3.8575689792633057
PaCMAP,n_neighbors_MN,80_0.8,0.49041078466210103,0.09148341978351321,4.185628175735474
PaCMAP,n_neighbors_MN,80_1.5,0.4942135611836155,0.09342066214528905,5.227309703826904
PaCMAP,n_neighbors_MN,80_3.0,0.48814749160098203,0.09192146406230896,7.52865195274353
PaCMAP,n_neighbors_MN,80_7.0,0.49137788312443464,0.09427256745691304,14.496387958526611
PaCMAP,n_neighbors_MN,120_0.3,0.5127004861739243,0.08752215009268297,5.077687978744507
PaCMAP,n_neighbors_MN,120_0.5,0.5093772208941724,0.08478427787306186,5.586716890335083
PaCMAP,n_neighbors_MN,120_0.8,0.5078215854761597,0.08398944690547949,6.207244873046875
PaCMAP,n_neighbors_MN,120_1.5,0.5067091193952706,0.08366171578387069,8.105068922042847
PaCMAP,n_neighbors_MN,120_3.0,0.5088442062928027,0.08514546246423466,11.359750032424927
PaCMAP,n_neighbors_MN,120_7.0,0.5107471087995865,0.08663326640402484,22.31091594696045
DensMAP,lambda_neighbors,0.1_10,0.6639443888099237,0.15873903856653696,18.311469078063965
DensMAP,lambda_neighbors,0.1_15,0.6201554222121721,0.11664466710012712,13.461199283599854
DensMAP,lambda_neighbors,0.1_30,0.5982099592970669,0.09452921724967178,16.488270044326782
