method,param_name,param_value,auroc,auprc,time_sec
t-SNE,perplexity_ee,50_4,0.32264004334116925,0.16362145490784785,24.889827013015747
t-SNE,perplexity_ee,50_12,0.3219867389519386,0.16252449508194536,26.063043117523193
t-SNE,perplexity_ee,50_24,0.32038651812193264,0.16250906523576603,25.364318132400513
t-SNE,perplexity_ee,50_36,0.3187483362764837,0.1628360451909549,26.34547519683838
t-SNE,perplexity_ee,50_48,0.3185231477836391,0.1621028956008652,26.676064014434814
t-SNE,perplexity_ee,50_60,0.3342626752299219,0.16961560568565398,25.87773108482361
t-SNE,perplexity_ee,80_4,0.2891239816137462,0.15717266934402216,28.193623065948486
t-SNE,perplexity_ee,80_12,0.28755516063602043,0.15581866504134617,28.525464057922363
t-SNE,perplexity_ee,80_24,0.2865030312573813,0.15563049861937012,29.704256772994995
t-SNE,perplexity_ee,80_36,0.28728029476494166,0.15604868483193346,28.6348397731781
t-SNE,perplexity_ee,80_48,0.29821166124902054,0.15824528645665897,28.14315104484558
t-SNE,perplexity_ee,80_60,0.30765598696765534,0.1632978138987195,29.455907821655273
t-SNE,perplexity_ee,100_4,0.27424256057828217,0.15396301365785506,30.187360048294067
t-SNE,perplexity_ee,100_12,0.265295242969245,0.15098470947701312,30.776867866516113
t-SNE,perplexity_ee,100_24,0.266209587921461,0.1519943622172487,30.632549285888672
t-SNE,perplexity_ee,100_36,0.2680122675004968,0.15235307481788854,30.40461492538452
t-SNE,perplexity_ee,100_48,0.26948173372175416,0.15228330044376948,30.478868007659912
t-SNE,perplexity_ee,100_60,0.2802216548378268,0.15624662994359576,31.882195949554443
t-SNE,perplexity_ee,120_4,0.2590701050910877,0.15037638743723825,32.455631732940674
t-SNE,perplexity_ee,120_12,0.2483194049212473,0.14767608870435991,33.532987117767334
t-SNE,perplexity_ee,120_24,0.24897200632871053,0.14855676910279775,33.22497773170471
t-SNE,perplexity_ee,120_36,0.24980832030473793,0.14862174013951523,32.961172103881836
t-SNE,perplexity_ee,120_48,0.26070688097300176,0.15018067382553055,32.89641714096069
t-SNE,perplexity_ee,120_60,0.2577646679489054,0.15159406431438055,32.414064168930054
UMAP,n_neighbors_min_dist,5_0.0,0.5667525710386508,0.27208968272834155,2.851318836212158
UMAP,n_neighbors_min_dist,5_0.1,0.5409350969739916,0.27359875153628893,2.824862003326416
UMAP,n_neighbors_min_dist,5_0.3,0.6246253107179413,0.31940326727740603,2.820906162261963
UMAP,n_neighbors_min_dist,5_0.5,0.6448163530430675,0.3104549142607056,2.8176801204681396
UMAP,n_neighbors_min_dist,5_0.7,0.7224627982048658,0.35512636567884276,2.8570640087127686
UMAP,n_neighbors_min_dist,5_1.0,0.807605137953142,0.43739807605585906,2.8302183151245117
UMAP,n_neighbors_min_dist,10_0.0,0.46496971554545763,0.2458822300131963,3.846595048904419
UMAP,n_neighbors_min_dist,10_0.1,0.46776594268917715,0.21920993688238546,3.8651609420776367
UMAP,n_neighbors_min_dist,10_0.3,0.5198599379126503,0.2662625353297897,3.850792407989502
UMAP,n_neighbors_min_dist,10_0.5,0.5755086776069376,0.2798234712590836,3.842495918273926
UMAP,n_neighbors_min_dist,10_0.7,0.674081952677142,0.39391254309264634,3.8526840209960938
UMAP,n_neighbors_min_dist,10_1.0,0.8075535859568613,0.5299895089726616,3.8430018424987793
UMAP,n_neighbors_min_dist,30_0.0,0.31831811143479516,0.1537138652777616,6.180871963500977
UMAP,n_neighbors_min_dist,30_0.1,0.2972966133150371,0.14927939071787846,6.104956150054932
UMAP,n_neighbors_min_dist,30_0.3,0.30281384855335725,0.15132619374812348,6.094810247421265
UMAP,n_neighbors_min_dist,30_0.5,0.368008611995306,0.1731747524763763,6.172277927398682
UMAP,n_neighbors_min_dist,30_0.7,0.4348471811368434,0.1998496231195836,6.0997960567474365
UMAP,n_neighbors_min_dist,30_1.0,0.5555707087180987,0.26640995436244497,6.098545789718628
UMAP,n_neighbors_min_dist,50_0.0,0.30287125873103354,0.15162943633426662,7.514081954956055
UMAP,n_neighbors_min_dist,50_0.1,0.26804460466180013,0.14386199108172484,7.4856250286102295
UMAP,n_neighbors_min_dist,50_0.3,0.2624715995365944,0.14313760757660543,7.476840019226074
UMAP,n_neighbors_min_dist,50_0.5,0.3437044233487427,0.1611921984503887,7.479660987854004
UMAP,n_neighbors_min_dist,50_0.7,0.44210078134080183,0.1996368041770893,7.481055974960327
UMAP,n_neighbors_min_dist,50_1.0,0.5631788460601153,0.2625224015753149,7.707965850830078
UMAP,n_neighbors_min_dist,75_0.0,0.26926240341030516,0.14352830271101022,9.000457048416138
UMAP,n_neighbors_min_dist,75_0.1,0.2406414380569959,0.13881990420488538,8.98320484161377
UMAP,n_neighbors_min_dist,75_0.3,0.2531163181751718,0.14286096849786387,8.987726211547852
UMAP,n_neighbors_min_dist,75_0.5,0.32055523374612427,0.16656121319774492,8.973482131958008
UMAP,n_neighbors_min_dist,75_0.7,0.41448039336985093,0.18915661793941424,8.941940307617188
UMAP,n_neighbors_min_dist,75_1.0,0.5533544415325378,0.25692836617633247,8.953660011291504
UMAP,n_neighbors_min_dist,100_0.0,0.2940139227882319,0.1480672065576623,10.339930772781372
UMAP,n_neighbors_min_dist,100_0.1,0.2511866332234807,0.14016856997683047,10.378657102584839
UMAP,n_neighbors_min_dist,100_0.3,0.2766580059312915,0.14849058793164654,10.652454137802124
UMAP,n_neighbors_min_dist,100_0.5,0.33244476437925774,0.16331998142067086,10.477232694625854
UMAP,n_neighbors_min_dist,100_0.7,0.4069456004589065,0.1916281754608386,10.296727895736694
UMAP,n_neighbors_min_dist,100_1.0,0.507673280319135,0.2381161343486019,10.376326084136963
UMAP,n_neighbors_min_dist,120_0.0,0.269195620142396,0.14337384657496224,11.276082038879395
UMAP,n_neighbors_min_dist,120_0.1,0.23674270117463564,0.13824907973294775,11.109622955322266
UMAP,n_neighbors_min_dist,120_0.3,0.24802110632458632,0.14234374800227403,10.968378067016602
UMAP,n_neighbors_min_dist,120_0.5,0.3209854585878127,0.16177218775248484,10.97084379196167
UMAP,n_neighbors_min_dist,120_0.7,0.4045055507440359,0.1948078850573884,10.977879762649536
UMAP,n_neighbors_min_dist,120_1.0,0.5023320248499368,0.24297970737210484,10.952893018722534
PaCMAP,n_neighbors_MN,5_0.3,0.4592666587932709,0.2991693108236145,0.5524139404296875
PaCMAP,n_neighbors_MN,5_0.5,0.4592666587932709,0.2991693108236145,0.5357329845428467
PaCMAP,n_neighbors_MN,5_0.8,0.4663269390111765,0.27249580689222463,0.5809950828552246
